country,cou_code,measure,2018,2019,2020,2021
Latin America & Caribbean,LCN,"Population, total",640483827,646431661,652365260,658089208
Least developed countries: UN classification,LDC,"Population, total",1009398577,1033088986,1057131013,1081504804
Low income,LIC,"Population, total",648498946,665731857,683532991,701926973
Liechtenstein,LIE,"Population, total",37918,38020,38137,38254
Sri Lanka,LKA,"Population, total",21670000,21803000,21919000,22156000
Lower middle income,LMC,"Population, total",3229156489,3274021191,3318682068,3363196656
Low & middle income,LMY,"Population, total",6343992496,6420460567,6494812232,6566551568
Lesotho,LSO,"Population, total",2108327,2125267,2142252,2159067
Late-demographic dividend,LTE,"Population, total",2297874675,2308520840,2316803603,2322070390
Lithuania,LTU,"Population, total",2801543,2794137,2794885,2795321
Luxembourg,LUX,"Population, total",607950,620001,630419,639070
Latvia,LVA,"Population, total",1927174,1913822,1900449,1883162
"Macao SAR, China",MAC,"Population, total",631633,640446,649342,658391
St. Martin (French part),MAF,"Population, total",37264,38002,38659,39239
Morocco,MAR,"Population, total",36029089,36471766,36910558,37344787
Monaco,MCO,"Population, total",38682,38967,39244,39520
Moldova,MDA,"Population, total",2708214,2664974,2620495,2573928
Madagascar,MDG,"Population, total",26262313,26969306,27691019,28427333
Maldives,MDV,"Population, total",515704,530957,540542,543620
Middle East & North Africa,MEA,"Population, total",448974232,456709496,464542370,472494995
Mexico,MEX,"Population, total",126190782,127575529,128932753,130262220
Marshall Islands,MHL,"Population, total",58412,58791,59194,59618
Middle income,MIC,"Population, total",5695493550,5754728710,5811279241,5864624595
North Macedonia,MKD,"Population, total",2076217,2076694,2072531,2065092
Mali,MLI,"Population, total",19077755,19658023,20250834,20855724
Malta,MLT,"Population, total",484630,504062,515332,516869
Myanmar,MMR,"Population, total",53708318,54045422,54409794,54806014
Middle East & North Africa (excluding high income),MNA,"Population, total",382955167,389457075,396147843,403051615
Montenegro,MNE,"Population, total",622227,622028,621306,620173
Mongolia,MNG,"Population, total",3170214,3225166,3278292,3329282
Northern Mariana Islands,MNP,"Population, total",56889,57213,57557,57910
Mozambique,MOZ,"Population, total",29496009,30366043,31255435,32163045
Mauritania,MRT,"Population, total",4403312,4525698,4649660,4775110
Mauritius,MUS,"Population, total",1265303,1265711,1265740,1266060
Malawi,MWI,"Population, total",18143215,18628749,19129955,19647681
Malaysia,MYS,"Population, total",31528033,31949789,32365998,32776195
North America,NAC,"Population, total",363967201,365995094,369602177,370203720
Namibia,NAM,"Population, total",2448300,2494524,2540916,2587344
New Caledonia,NCL,"Population, total",270650,271300,271960,272620
Niger,NER,"Population, total",22442831,23310719,24206636,25130810
Nigeria,NGA,"Population, total",195874685,200963603,206139587,211400704
Nicaragua,NIC,"Population, total",6465502,6545503,6624554,6702379
Netherlands,NLD,"Population, total",17231624,17344874,17441500,17533405
Norway,NOR,"Population, total",5311916,5347896,5379475,5408320
Nepal,NPL,"Population, total",28095712,28608715,29136808,29674920
Nauru,NRU,"Population, total",10678,10764,10834,10873
New Zealand,NZL,"Population, total",4900600,4979200,5090200,5122600
OECD members,OED,"Population, total",1358279647,1365274704,1372980201,1375820281
Oman,OMN,"Population, total",4829476,4974992,5106622,5223376
Other small states,OSS,"Population, total",30760469,31361216,31929881,32464282
Pakistan,PAK,"Population, total",212228288,216565317,220892331,225199929
Panama,PAN,"Population, total",4176868,4246440,4314768,4381583
Peru,PER,"Population, total",31989265,32510462,32971846,33359416
Philippines,PHL,"Population, total",106651394,108116622,109581085,111046910
Palau,PLW,"Population, total",17911,18001,18092,18174
Papua New Guinea,PNG,"Population, total",8606324,8776119,8947027,9119005
Poland,POL,"Population, total",37974750,37965475,37899070,37781024
Pre-demographic dividend,PRE,"Population, total",919485090,944902748,970795671,997158227
Puerto Rico,PRI,"Population, total",3193354,3193694,3281538,3263584
"Korea, Dem. People's Rep.",PRK,"Population, total",25549606,25666158,25778815,25887045
Portugal,PRT,"Population, total",10283822,10286263,10297081,10299423
Paraguay,PRY,"Population, total",6956069,7044639,7132530,7219641
West Bank and Gaza,PSE,"Population, total",4569087,4685306,4803269,4922749
Pacific island small states,PSS,"Population, total",2455336,2491878,2528958,2566494
Post-demographic dividend,PST,"Population, total",1110012320,1113142897,1117278019,1116655196
French Polynesia,PYF,"Population, total",277673,279285,280904,282534
Qatar,QAT,"Population, total",2781682,2832071,2881060,2930524
Romania,ROU,"Population, total",19473970,19371648,19257520,19115146
Russian Federation,RUS,"Population, total",144477859,144406261,144073139,143446060
Rwanda,RWA,"Population, total",12301969,12626938,12952209,13276517
South Asia,SAS,"Population, total",1814455018,1835776769,1856882402,1877902324
Saudi Arabia,SAU,"Population, total",33702757,34268529,34813867,35340680
Sudan,SDN,"Population, total",41801532,42813237,43849269,44909351
Senegal,SEN,"Population, total",15854324,16296362,16743930,17196308
Singapore,SGP,"Population, total",5638676,5703569,5685807,5453566
Solomon Islands,SLB,"Population, total",652856,669821,686878,703995
Sierra Leone,SLE,"Population, total",7650149,7813207,7976985,8141343
El Salvador,SLV,"Population, total",6420740,6453550,6486201,6518500
San Marino,SMR,"Population, total",33784,33864,33938,34010
Somalia,SOM,"Population, total",15008225,15442906,15893219,16359500
Serbia,SRB,"Population, total",6982604,6945235,6899126,6844078
Sub-Saharan Africa (excluding high income),SSA,"Population, total",1078222750,1106860245,1135948313,1165464785
South Sudan,SSD,"Population, total",10975924,11062114,11193729,11381377
Sub-Saharan Africa,SSF,"Population, total",1078319512,1106957870,1136046775,1165563987
Small states,SST,"Population, total",40574734,41254483,41901130,42512407
Sao Tome and Principe,STP,"Population, total",211032,215048,219161,223364
Suriname,SUR,"Population, total",575987,581363,586634,591798
Slovak Republic,SVK,"Population, total",5446771,5454147,5458827,5447247
Slovenia,SVN,"Population, total",2073894,2088385,2102419,2107007
Sweden,SWE,"Population, total",10175214,10278887,10353442,10415811
Eswatini,SWZ,"Population, total",1136274,1148133,1160164,1172369
Sint Maarten (Dutch part),SXM,"Population, total",40895,41608,42310,42846
Seychelles,SYC,"Population, total",96762,97625,98462,99202
Syrian Arab Republic,SYR,"Population, total",16945062,17070132,17500657,18275704
Turks and Caicos Islands,TCA,"Population, total",37667,38194,38718,39226
Chad,TCD,"Population, total",15477727,15946882,16425859,16914985
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",2066103849,2078012370,2088186305,2096155040
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",458942666,460788476,462100263,462624055
Togo,TGO,"Population, total",7889095,8082359,8278737,8478242
Thailand,THA,"Population, total",69428454,69625581,69799978,69950844
Tajikistan,TJK,"Population, total",9100847,9321023,9537642,9749625
Turkmenistan,TKM,"Population, total",5850902,5942094,6031187,6117933
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",624698076,630644771,636492840,642239838
Timor-Leste,TLS,"Population, total",1267975,1293120,1318442,1343875
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",378386080,384771769,391344574,398128866
Tonga,TON,"Population, total",103199,104497,105697,106759
South Asia (IDA & IBRD),TSA,"Population, total",1814455018,1835776769,1856882402,1877902324
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",1078319512,1106957870,1136046775,1165563987
Trinidad and Tobago,TTO,"Population, total",1389841,1394969,1399491,1403374
Tunisia,TUN,"Population, total",11565203,11694721,11818618,11935764
Turkiye,TUR,"Population, total",82340090,83429607,84339067,85042736
Tuvalu,TUV,"Population, total",11505,11655,11792,11925
Tanzania,TZA,"Population, total",56313444,58005461,59734213,61498438
Uganda,UGA,"Population, total",42729032,44269587,45741000,47123533
Ukraine,UKR,"Population, total",44622518,44386203,44132049,43814581
Upper middle income,UMC,"Population, total",2466337061,2480707519,2492597173,2501427939
Uruguay,URY,"Population, total",3449290,3461731,3473727,3485152
United States,USA,"Population, total",326838199,328329953,331501080,331893745
Uzbekistan,UZB,"Population, total",32956100,33580350,34232050,34915100
St. Vincent and the Grenadines,VCT,"Population, total",110210,110593,110947,111269
"Venezuela, RB",VEN,"Population, total",28887117,28515829,28435943,28704947
British Virgin Islands,VGB,"Population, total",29795,30033,30237,30423
Virgin Islands (U.S.),VIR,"Population, total",107001,106669,106290,105870
Vietnam,VNM,"Population, total",95545959,96462108,97338583,98168829
Vanuatu,VUT,"Population, total",292675,299882,307150,314464
World,WLD,"Population, total",7602716232,7683806444,7763932702,7836630792
Samoa,WSM,"Population, total",196128,197093,198410,200144
Kosovo,XKX,"Population, total",1797085,1788878,1790133,1806279
"Yemen, Rep.",YEM,"Population, total",28498683,29161922,29825968,30490639
South Africa,ZAF,"Population, total",57792520,58558267,59308690,60041996
Zambia,ZMB,"Population, total",17351714,17861034,18383956,18920657
Zimbabwe,ZWE,"Population, total",14438812,14645473,14862927,15092171
