Country Name,Country Code,Indicator Name,2017,2018,2019,2020,2021
North America,NAC,GDP (current US$),2.11E+13,2.23E+13,2.31E+13,2.25E+13,2.50E+13
Namibia,NAM,GDP (current US$),12895153160,13682062249,12543203411,10562637376,12236250784
New Caledonia,NCL,GDP (current US$),9173668102,9846922416,9438130987,9435529927,
Niger,NER,GDP (current US$),11185102400,12808660528,12916455161,13741378450,14950949875
Nigeria,NGA,GDP (current US$),3.76E+11,3.97E+11,4.48E+11,4.32E+11,4.41E+11
Nicaragua,NIC,GDP (current US$),13785909906,13025239912,12596636042,12586941393,14013022092
Netherlands,NLD,GDP (current US$),8.34E+11,9.14E+11,9.10E+11,9.14E+11,1.02E+12
Norway,NOR,GDP (current US$),3.98E+11,4.37E+11,4.05E+11,3.62E+11,4.82E+11
Nepal,NPL,GDP (current US$),28971589213,33111525872,34186190996,33433670512,36288830373
Nauru,NRU,GDP (current US$),109359680.2,124021393.7,118724073.8,114626625.6,133218896.9
New Zealand,NZL,GDP (current US$),2.07E+11,2.12E+11,2.13E+11,2.12E+11,2.50E+11
OECD members,OED,GDP (current US$),5.05E+13,5.34E+13,5.39E+13,5.23E+13,5.79E+13
Oman,OMN,GDP (current US$),80856697009,91505851756,88060858257,73971391417,85868626528
Other small states,OSS,GDP (current US$),3.98E+11,4.42E+11,4.33E+11,3.77E+11,4.47E+11
Pakistan,PAK,GDP (current US$),3.39E+11,3.56E+11,3.21E+11,3.00E+11,3.46E+11
Panama,PAN,GDP (current US$),62202725200,64929409200,66984427200,53977037000,63605065800
Peru,PER,GDP (current US$),2.11E+11,2.23E+11,2.28E+11,2.02E+11,2.23E+11
Philippines,PHL,GDP (current US$),3.28E+11,3.47E+11,3.77E+11,3.62E+11,3.94E+11
Palau,PLW,GDP (current US$),285300000,284700000,274200000,257700000,
Papua New Guinea,PNG,GDP (current US$),22742613554,24109509853,24751344561,24667052023,26594277246
Poland,POL,GDP (current US$),5.27E+11,5.87E+11,5.97E+11,5.97E+11,6.74E+11
Pre-demographic dividend,PRE,GDP (current US$),1.29E+12,1.32E+12,1.39E+12,1.31E+12,1.43E+12
Puerto Rico,PRI,GDP (current US$),1.03E+11,1.01E+11,1.05E+11,1.03E+11,
"Korea, Dem. People's Rep.",PRK,GDP (current US$),,,,,
Portugal,PRT,GDP (current US$),2.21E+11,2.42E+11,2.40E+11,2.29E+11,2.50E+11
Paraguay,PRY,GDP (current US$),38997129474,40225448341,37925338329,35432178068,38986810989
West Bank and Gaza,PSE,GDP (current US$),16128000000,16276600000,17133500000,15531700000,18036800000
Pacific island small states,PSS,GDP (current US$),10217604992,10657544778,10644265612,9573379122,9749476210
Post-demographic dividend,PST,GDP (current US$),4.76E+13,5.04E+13,5.09E+13,4.95E+13,5.46E+13
French Polynesia,PYF,GDP (current US$),5833351478,6135117589,6008055248,5669368717,
Qatar,QAT,GDP (current US$),1.61E+11,1.83E+11,1.76E+11,1.44E+11,1.80E+11
Romania,ROU,GDP (current US$),2.12E+11,2.41E+11,2.50E+11,2.50E+11,2.84E+11
