,country,cou_code,region,data_source,date_updated,total_vax,vax_1+,total_vax_rate,vax_1+_rate,full_vax,full_vax_rate,vax_used,vax_date,num_vax_types,boost_add_dose,boost_add_dose_rate
160,Paraguay,PRY,AMRO,REPORTING,2022-10-28,9419313.0,3967215.0,132.061,55.621,3518399.0,49.329,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-22,8.0,1617513.0,22.678
161,Peru,PER,AMRO,REPORTING,2022-10-28,84981554.0,29908445.0,257.74,90.709,28280111.0,85.77,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-09,4.0,21376479.0,64.833
162,Philippines,PHL,WPRO,REPORTING,2022-10-20,167639203.0,77994168.0,152.982,71.175,73449131.0,67.027,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,11.0,20425579.0,18.64
163,Pitcairn Islands,PCN,WPRO,REPORTING,2022-02-28,138.0,55.0,276.0,110.0,37.0,74.0,AstraZeneca - Vaxzevria,2021-05-17,1.0,23.0,46.0
164,Poland,POL,EURO,REPORTING,2022-10-16,57383999.0,22901670.0,151.2,60.334,22625720.0,59.607,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5.0,12426877.0,32.738
165,Portugal,PRT,EURO,REPORTING,2022-10-16,25658974.0,9760014.0,249.2,94.891,8873102.0,86.181,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,8.0,6946902.0,67.472
166,Puerto Rico,PRI,AMRO,REPORTING,2022-10-28,7798061.0,3117448.0,272.578,108.969,2748798.0,96.083,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",,4.0,1723166.0,60.233
167,Qatar,QAT,EMRO,REPORTING,2022-11-01,7592322.0,2847595.0,263.526,98.839,2847594.0,98.839,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10.0,1897133.0,65.849
168,Republic of Korea,KOR,WPRO,REPORTING,2022-09-30,130834289.0,45113628.0,255.191,87.994,44678807.0,87.146,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-26,5.0,33600655.0,65.538
169,Republic of Moldova,MDA,EURO,REPORTING,2022-09-18,2241785.0,1101302.0,55.6,27.301,1071341.0,26.558,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-03,7.0,370563.0,9.186
170,Romania,ROU,EURO,REPORTING,2022-10-16,16083871.0,8183574.0,83.2,42.339,8136562.0,42.095,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-27,4.0,1761712.0,9.114
171,Russian Federation,RUS,EURO,OWID,2022-10-31,179202586.0,85406305.0,122.8,58.524,77321901.0,52.984,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2.0,,
172,Rwanda,RWA,AFRO,REPORTING,2022-10-23,26106436.0,9547259.0,201.56,73.711,8962371.0,69.196,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,7.0,5562376.0,42.945
173,Saba,XCA,AMRO,REPORTING,2022-10-28,4471.0,1687.0,231.298,87.274,1657.0,85.722,,,,1127.0,58.303
